Refran,refran_completo,parte_1,parte_2
A castaña que está no camiño é do veciño,A castaña que está no camiño é do veciño,A castaña ,que está no camiño é do veciño
"A lúa de outubro a sete cubre, e se chove, a nove","A lúa de outubro a sete cubre, e se chove, a nove",A lúa de outubro a sete cubre, e se chove
"Outono, outounán, mes das san Lucas e máis san Froilán","Outono, outounán, mes das san Lucas e máis san Froilán",Outono, outounán
"Á besta golosa, taleiga de area","Á besta golosa, taleiga de area",Á besta golosa, taleiga de area
"San Miguel das uvas maduras, que tarde vés e que pouco duras","San Miguel das uvas maduras, que tarde vés e que pouco duras",San Miguel das uvas maduras, que tarde vés e que pouco duras
"Quen en san Miguel pranta, un ano adianta","Quen en san Miguel pranta, un ano adianta",Quen en san Miguel pranta, un ano adianta
"Quen en san Miguel esterca, desde a casa rega","Quen en san Miguel esterca, desde a casa rega",Quen en san Miguel esterca, desde a casa rega
"Polo Santiago esconde o coello o rabo, e por san Miguel vólveselle ver","Polo Santiago esconde o coello o rabo, e por san Miguel vólveselle ver",Polo Santiago esconde o coello o rabo, e por san Miguel vólveselle ver
"De san Miguel a Santos, nubes de tranchos","De san Miguel a Santos, nubes de tranchos",De san Miguel a Santos, nubes de tranchos
"De san Miguel a san Martiño, recóllese o pan e gárdase o viño","De san Miguel a san Martiño, recóllese o pan e gárdase o viño",De san Miguel a san Martiño, recóllese o pan e gárdase o viño
"Polo san Miguel, colle a vara e o caravel","Polo san Miguel, colle a vara e o caravel",Polo san Miguel, colle a vara e o caravel
"O luns mollo, o martes lavo, o mércores seco, o xoves saco, o venres peneiro, o sábado amaso e o domingo, que eu fiaría, todos me din que xa non é día","O luns mollo, o martes lavo, o mércores seco, o xoves saco, o venres peneiro, o sábado amaso e o domingo, que eu fiaría, todos me din que xa non é día",O luns mollo, o martes lavo
"Gaba o mar, e vive na terra","Gaba o mar, e vive na terra",Gaba o mar, e vive na terra
Fachenda na casa e fame na praza,Fachenda na casa e fame na praza,Fachenda na casa ,e fame na praza 
Do boi manso agarda a peor cornada,Do boi manso agarda a peor cornada,Do boi manso ,agarda a peor cornada 
Unha fouce non fai sega,Unha fouce non fai sega,Unha fouce ,non fai sega 
Do pecado da ignorancia saca o demo ganancia,Do pecado da ignorancia saca o demo ganancia,Do pecado da ignorancia ,saca o demo ganancia 
Besta que non dá esterco non durme na corte,Besta que non dá esterco non durme na corte,Besta ,que non dá esterco non durme na corte
Á vaca vella aguzarlle a rella,Á vaca vella aguzarlle a rella,Á vaca vella ,aguzarlle a rella 
"Ano de herba, ano de merda","Ano de herba, ano de merda",Ano de herba, ano de merda
Non busques nin boi de sábado nin home de luns,Non busques nin boi de sábado nin home de luns,Non bus,ques nin boi de sábado nin home de luns
"Día tras día, semana ao cabo","Día tras día, semana ao cabo",Día tras día, semana ao cabo
En coiro nacín e en coiro me vexo: nin gaño nin perdo,En coiro nacín e en coiro me vexo: nin gaño nin perdo,En coiro nacín e en coiro ,me vexo: nin gaño nin perdo 
Moito peixe rompe a rede,Moito peixe rompe a rede,Moito peixe ,rompe a rede 
